,est_price,blind_assessment,after_slash,before_slash,before_DOL,rem_D,Euro
4541,$12.95/12 ounces,"Floral notes in aroma and cup anchored by hints of fresh-cut fir and citrus. Delicately crisp acidity; silky mouthfeel. Aromatically simple but deep, sweet-toned finish.",12 ounces,$12.95,,12.95,12.172999999999998
4542,$13.95/12 ounces,"Sweet and delicately complex in aroma and cup: clover, moist pipe tobacco, nut, molasses, plum. Crisp, buoyantly lively acidity; lightly syrupy mouthfeel. Long, deep, flavor-saturated finish. ",12 ounces,$13.95,,13.95,13.112999999999998
4543,$22.95/12 ounces,"Balanced, softly complex aromatics in aroma and cup: nut, cocoa, orangy citrus, black currant, hints of baker’s chocolate, flowers. The richly tart acidity is softened by a floral suggestion; lightly syrupy mouthfeel. Deep, resonant finish with some flavor persisting. ",12 ounces,$22.95,,22.95,21.572999999999997
4544,$12.90/12 ounces,"Crisp, balanced. Hints of raisiny dark chocolate and fresh-cut fir round and deepen a dominant lemony citrus. Silky mouthfeel. The lemon softens in a long, gently dry finish.",12 ounces,$12.90,,12.9,12.126
4545,$12.85/12 ounces,"Deep-toned, quietly complex. Sweet flowers, caramel, apple in aroma and cup. Rich, round, but authoritative acidity; lightly syrupy mouthfeel. Impressively long, resonant, sweet finish. ",12 ounces,$12.85,,12.85,12.078999999999999
4546,$14.90/12 ounces,"Beautifully structured coffee: rich, tart, wine-toned acidity and syrupy mouthfeel. Ripe lemon, table grape and vanilla-toned nut are expressed with great depth and resonance in aroma and cup. Balanced finish.",12 ounces,$14.90,,14.9,14.006
4547,$20.00/12 ounces,Tartly lemony with a rounding cherryish sweetness and hints of nut-toned cocoa in aroma and cup. Bright acidity; lightly syrupy mouthfeel. The lemon and cocoa notes carry into a crisp finish.,12 ounces,$20.00,,20.0,18.799999999999997
4548,$16.00/16 ounces,"Full, deep, syrupy. Aromatic wood, dark chocolate, almond, orange in aroma and cup. Rich, roundly expressed acidity, big body. Long, sweet, slightly drying finish saturated with dark chocolate and orange. ",16 ounces,$16.00,,16.0,15.04
4549,$10.99/12 ounces,"Fine structure and balance throughout. The quietly complex aromatics – orange, nut, fresh-cut fir, lavender-like flowers, caramel – are pleasing and persistent, but the excellence of this coffee resides above all in its fine structure – sweet-toned acidity, silky mouthfeel, long, perfectly clean, flavor-saturated finish. ",12 ounces,$10.99,,10.99,10.3306
4550,$17.25/16 ounces,"Big, intense dried-in-the-fruit profile. Berries, brandy, port wine, dark chocolate, cedar, cocoaish chocolate. Gently bright acidity; lively, lightly syrupy mouthfeel. The aromatics simplify and the mouthfeel tightens very slightly in the finish, but overall an exciting, flamboyant coffee with very little downside to the sweet, fruit-enhancing ferment.  ",16 ounces,$17.25,,17.25,16.215
4551,$12.75/12 ounces,"Deep-toned, rose-like floral notes dominate aroma, cup and finish, with fresh-cut fir, nectarine-like fruit and ripe lemon complications. Intense, sweetly tart acidity; silky mouthfeel; long, rich finish.  ",12 ounces,$12.75,,12.75,11.985
4552,$16.00/12 ounces,"A deep, rich, intense acidity dominates the profile. Complex lemon-and-orange citrus, fresh-cut fir, ripe tomato in aroma and cup. Impressively rich, syrupy mouthfeel. Clean, dry finish. ",12 ounces,$16.00,,16.0,15.04
4553,CAD $15.90/12 ounces,"Deep-toned, savory sweet. Nougat-like almond, port wine, leather, cedar in aroma and cup. Tartly rich acidity, smooth mouthfeel, balanced though simple finish.",12 ounces,CAD $15.90,CAD ,15.9,
4554,$13.00/12 ounces,"Sweet-toned, round, deep. Roasted nut, grapy fruit, dark chocolate, a brightening hint of lemon. Soft, muted acidity; syrupy mouthfeel; smooth finish.",12 ounces,$13.00,,13.0,12.219999999999999
4555,$17.00/12 ounces,"Unusual profile; gentle, round, with a soft, almost creamy mouthfeel and quiet, complex aromatics: orangy citrus, cocoa, flowers, pine, rosemary. Sweet, with a slight salty/savory edge particularly prominent in the long finish.",12 ounces,$17.00,,17.0,15.979999999999999
4556,$14.00/12 ounces,"Evaluated as espresso. Crisp, bright, complex. Vanilla, butter, caramelly milk chocolate, citrus, stone fruit all carry from aroma to small cup. Medium body, lightly syrupy mouthfeel. Sweet, rich finish with fine flavor saturation. In two parts milk delicate but continued complex, with the vanilla and caramelly milk chocolate notes particularly prominent.",12 ounces,$14.00,,14.0,13.16
4557,$14.00/12 ounces,"Deep, complex, pungent. Sweetly tart grapefruit and enveloping fresh-turned, moist earth in aroma and cup, with grace notes ranging from flowers to cedar. Rich acidity, lightly syrupy mouthfeel. The grapefruit and earth notes carry deep into the finish. ",12 ounces,$14.00,,14.0,13.16
4558,$16.95/16 ounces,"Intense, crisp aromatics: blackberry, dark chocolate, caramel, orange in aroma and cup. Rich, sweetly tart acidity; silky mouthfeel. Flavor detail fades a bit in a straightforward finish.",16 ounces,$16.95,,16.95,15.932999999999998
4559,$12.95/12 ounces,"Evaluated as espresso. Delicate, floral- and caramel-toned aroma. In the small cup the caramel drops back and a pungent, lemony cedar dominates, complicated by continuing floral top notes. Lightly syrupy mouthfeel. Caramel returns with the flowers in the finish. Almost loses its way in two parts milk, but the caramel turns pleasantly chocolaty and the cedar contributes some authority. ",12 ounces,$12.95,,12.95,12.172999999999998
4560,$12.95/12 ounces,"Evaluated as espresso. Great depth and complex range in aroma and flavor: crisp walnut and dark chocolate, cedary anise, lemon and floral top notes. Heavy, satiny mouthfeel; long, rich, sweetly resonant finish. Surprisingly delicate in two parts milk, but ultimately a sweet but complex chocolate, toffee- and mint-toned, impresses. ",12 ounces,$12.95,,12.95,12.172999999999998
4561,$64.95/10 ounces,"Bright, high-toned complexity: sweet, rose-like floral notes, milk chocolate, lemony cherry, a hint of pungent fir. Rich, zesty acidity; lightly syrupy mouthfeel. The finish is deep and long with echoes of flowers and chocolate. ",10 ounces,$64.95,,64.95,61.053
4562,$15.99/16 ounces,"Deep, complex, roast-influenced profile with a wide but harmonious array of aromatic and flavor notes ranging from smoky roasted nut and aromatic wood to dark chocolate and a delicate but distinct lemony top note. Roast-rounded acidity; full, rather rugged mouthfeel. Very sweet, rich, flavor-saturated finish.",16 ounces,$15.99,,15.99,15.0306
4563,$12.90/12 ounces,"Deep-toned, complex. Rich apricot-like fruit dominates, with complications of cedar, cocoaish nut and night flowers. Quietly rounded acidity; lightly syrupy mouthfeel. Flavor notes carry into a long, balanced finish.  ",12 ounces,$12.90,,12.9,12.126
4564,$15.75/12 ounces,"Pungently sweet and deep in both aroma and cup. Very complex: black cherry, grapefruit, fresh-turned earth, cedar, a hint of night flowers. Rich, grapefruit-toned acidity, lightly syrupy mouthfeel, sweetly tart finish saturated with fruit. ",12 ounces,$15.75,,15.75,14.805
4565,$12.90/12 ounces,"Evaluated as espresso. Rich, deep, balanced in the small cup. Cedar, orange, apricot, dark chocolate, a hint of flowers. Full, syrupy mouthfeel. Excellent presence in two parts milk, though surprisingly dry, displaying a citrusy dark chocolate that it’s tempting to call butterscotch.",12 ounces,$12.90,,12.9,12.126
4566,$13.95/12 ounces,"Complex, exhilarating aromatics: cedar, orange, flowers, with a rounding chocolaty sweetness in the cup. Tart, intense acidity; silky mouthfeel. The tart, acidy sensation dominates in the finish, cushioned by a continued chocolaty sweetness.  ",12 ounces,$13.95,,13.95,13.112999999999998
4567,$13.95/12 ounces,"Crisply sweet and cocoa-toned with a deepening and complicating savory hint. Rich, balanced acidity; lightly syrupy, almost effervescent mouthfeel. The sweet/savory sensation extends into a long finish. ",12 ounces,$13.95,,13.95,13.112999999999998
4568,$13.50/12 ounces,"Evaluated as espresso. Sweet-toned and balanced in the small cup; heady floral notes anchored by pungent cedar and anise and a hint of nut-nuanced chocolate. Lightly syrupy mouthfeel; excellent flavor persistence in a slightly drying finish. In two parts milk pronounced presence with a complex, bittersweet chocolate dominating.",12 ounces,$13.50,,13.5,12.69
4569,$12.95/12 ounces,"Bright and sweetly tart with complex, refreshing temperate fruit notes: cherry, green apple, orange. Smooth, silky mouthfeel. The finish is very rich, sweet, and saturated with fruit notes, particularly apple.",12 ounces,$12.95,,12.95,12.172999999999998
4570,$13.95/12 ounces,"Evaluated as espresso. Richly sweet, custardy milk chocolate notes dominate aroma and flavor, saved from simplicity by a green apple tartness and a hint of cedary pungency. The finish in the small cup is surprisingly tight and drying, but the roundly sweet, mousse-like chocolate notes and the hint of tart fruit make an impressive return in two parts milk. ",12 ounces,$13.95,,13.95,13.112999999999998
4571,$13.95/12 ounces,"Pungent, deep-toned with raisiny, grape-like fruit and tart berry notes in aroma and cup. Quietly rich acidity; full, syrupy mouthfeel. The sweet, raisin-like fruit dominates in a long, resonant finish. ",12 ounces,$13.95,,13.95,13.112999999999998
4572,$13.95/12 ounces,"Evaluated as espresso. In the small cup roundly balanced but engagingly complex. Melony fruit, apple, brandy, dark chocolate suggestions in both aroma and cup. Light-footed, creamy mouthfeel; deep, cleanly resonant finish with particular persistence of the dark chocolate note. Strong presence in two parts milk, dominated by a fruit-toned bittersweet chocolate.",12 ounces,$13.95,,13.95,13.112999999999998
4573,$13.00/12 ounces,"Quiet, balanced aroma and flavor: roasted nut, cedar, chocolate, a hint of lemon. Rich, lemony acidity. The mouthfeel is full but a little stolid; simple and bittersweet in the finish.",12 ounces,$13.00,,13.0,12.219999999999999
4574,$19.49/12 ounces,"Fine balance and structure, with a layering of temperate fruit notes – apple, peach, cherry, apricot – anchored by hints of fresh-cut fir and smoky, savory spice. Delicate acidity; roundly syrupy mouthfeel. Simple but rich, sweet finish.",12 ounces,$19.49,,19.49,18.3206
4575,CAD $52.50/12 ounces,"Deep, minty dark chocolate and sweet but slightly savory port wine notes in aroma and cup. Rich acidity; full, syrupy mouthfeel. The finish is sweet with dark chocolate notes when the cup is hot; as it cools a salty/savory complication emerges. ",12 ounces,CAD $52.50,CAD ,52.5,
4576,$14.00/8 ounces,"Deep, intense aromatics suggesting juniper berry, peach and lily-like flowers carry into the cup with further complications of dried stone fruit and a hint of walnut. Dry floral acidity; silkily buoyant mouthfeel. Sweet but rather drying finish.",8 ounces,$14.00,,14.0,13.16
4577,$23.00/12 ounces,"Bright, pungent, complex. Fresh-cut fir, tartly sweet berry – strawberry, blackberry, cranberry – ripe orange and tomato in aroma and cup. Richly balanced acidity; syrupy, lively mouthfeel. Very sweet, deeply flavor-saturated finish.   ",12 ounces,$23.00,,23.0,21.619999999999997
4578,$29.95/12 ounces,"Sonorously bright acidity and lush yet delicate aroma and flavor: flowers, orange, nut, fresh-cut fir with a rounding hint of milk chocolate. Silkily smooth mouthfeel. The finish is sweet but crisp, dominated by an orangy chocolate. ",12 ounces,$29.95,,29.95,28.153
4579,$22.95/12 ounces,"Strikingly distinctive profile: lavender-like flowers, crisp baker’s chocolate, strawberry-like fruit, richly pungent cedar. Crisply balanced acidity; silky, buoyantly lively mouthfeel. Rich, lavender-toned chocolate in the finish.",12 ounces,$22.95,,22.95,21.572999999999997
4580,$16.25/12 ounces,"Rose-like flowers hover over a richly tart black currant note – think grapefruit fused with blackberry – in both aroma and cup. Crisp, delicately rich acidity with a hint of bite; silky mouthfeel. ",12 ounces,$16.25,,16.25,15.274999999999999
4581,$21.00/12 ounces,"Rich, wine-like acidity drives an orangy cedar and night-floral aromatic in aroma and cup. In the cup additional suggestions surface: peach, chocolate. Lightly syrupy mouthfeel. Tart but deeply rich, fruit-saturated finish.  ",12 ounces,$21.00,,21.0,19.74
4582,$15.75/12 ounces,"Rich, lush: orange-and-brandy-toned fruit, sweet cocoa, night flowers in aroma and cup. Round, fruit-toned acidity; syrupy mouthfeel. The finish is deep and fruit-saturated.",12 ounces,$15.75,,15.75,14.805
4583,$22.75/12 ounces,"Honey, sweet clover and multi-layered, grapefruit-like citrus in aroma and cup. Brightly tart acidity; light but silky mouthfeel. Suggestions of berry complicate the cup. The finish is rich, with a zesty citrus enveloped by continued honeyish sweetness. ",12 ounces,$22.75,,22.75,21.384999999999998
4584,$24.99/16 ounces,"Delicately complex: almond, orange, peach, a hint of milk chocolate in aroma and cup. Crisp, balanced acidity; smoothly silky mouthfeel. Sweet, flavor-saturated finish with a distinct peach-toned chocolate emerging in the long.",16 ounces,$24.99,,24.99,23.490599999999997
4585,$21.95/16 ounces,"Complex layers of fruit in aroma and cup: strawberry, cherry, orange, deepened and complicated by a pungent cedar. Rich, round acidity; soft, lightly syrupy mouthfeel. Some flavor carries into a long, resonantly sweet finish.  ",16 ounces,$21.95,,21.95,20.633
4586,$15.50/8 ounces,"Rich, brandy-like fruit dominates the profile: cherry, blueberry, cocoaish dark chocolate in aroma and cup. Round, fruit-influenced acidity; syrupy mouthfeel. Flavor carries richly into the finish, where a very slight over-ripe note emerges as the cup cools. ",8 ounces,$15.50,,15.5,14.569999999999999
4587,$20.00/12 ounces,"Rich, deeply and sweetly expressed acidity dominates, nuanced by suggestions of grapefruit, tart pie cherry, fresh-cut fir and perhaps a rounding hint of table grape. Syrupy mouthfeel. Grapefruity citrus in particular carries into a sweet finish. ",12 ounces,$20.00,,20.0,18.799999999999997
4588,$15.75/12 ounces,"Gently pungent in aroma and cup: cedar, grapefruit, lemon, with rounding hints of dark chocolate. Round, rich acidity; lively, lightly syrupy mouthfeel. Flavor carries deeply into a long, sweet finish.",12 ounces,$15.75,,15.75,14.805
4589,NT $600/16 ounces,"Musty, mildewed notes read persuasively as sweet, freshly turned earth, strawberry-like fruit and fresh-cut fir. Soft, round acidity; lightly syrupy mouthfeel. The strawberry-like sweetness manages to outlast a mild drying astringency in the finish. ",16 ounces,NT $600,NT ,600.0,
4590,$15.90/12 ounces,"Tart berry notes, pungent fir, and an enveloping cocoa sweetness in both aroma and cup. Zesty, delicate acidity; silky mouthfeel. The sweet cocoa carries into a roundly balanced finish with a slight savory edge. ",12 ounces,$15.90,,15.9,14.946
4591,$16.98/16 ounces,"Evaluated as espresso. Elegantly sweet aroma and flavor in the short cup suggests evening flowers, almond-like nut, dark chocolate and a nectarine-like stone fruit. The stone fruit develops a bright, citrusy edge in the cup. Lively, lightly syrupy mouthfeel; citrus and chocolate carry into the finish. Pronounced presence in two parts milk; the citrus and chocolate character show up with particular clarity. ",16 ounces,$16.98,,16.98,15.9612
4592,$13.95/12 ounces,"Evaluated as espresso. Intense aroma: semi-sweet chocolate, rose-like flowers, sweet cherry. All carry into a cup complicated by pungent citrus and aromatic wood. Syrupy mouthfeel. The chocolate and rose notes linger in a complex finish. Strong presence in two parts milk: dry, lemony and dark-chocolate-toned. Begins to soften and sweeten toward toffee in three parts milk. ",12 ounces,$13.95,,13.95,13.112999999999998
4593,$15.90/12 ounces,"Evaluated as espresso. Very sweet-toned, gently bright aroma: sweet cocoa, pineapply fruit. In the small cup lean but silky mouthfeel, with the fruit and cocoa notes deepened and enriched by hints of wine, cedar and leather. In two parts milk a sweet chocolate dominates complicated by gently tart fruit.  ",12 ounces,$15.90,,15.9,14.946
4594,$29.30/12 ounces,"Darkish roast influences the distinctive profile without dominating it: Deep, sweetly pungent aroma with hints of flowers, lemon, berry, cedar. Lemony, roast-muted acidity; lightly syrupy mouthfeel. Aromatics deepen in the cup, with the cedar moving forward, the flowers turning toward a spicy rose and the berries turning lightly chocolaty. Rich finish with good flavor saturation. ",12 ounces,$29.30,,29.3,27.541999999999998
4595,$15.40/12 ounces,"Very sweet; delicate but lush. Minty milk chocolate and apricot- and peach-like fruit in aroma and cup. Softly bright acidity; smoothly silky, lively mouthfeel. Round, gently resonant finish.",12 ounces,$15.40,,15.4,14.475999999999999
4596,$13.25/12 ounces,"Deeply and dramatically complex aroma and flavor: Pineapple- and berry-like fruit, milk chocolate, hints of brandy and mint. Richly bright acidity; very smooth, silky/syrupy mouthfeel. The finish is saturated with flavor, particularly with the minty brandy notes. Turns savory as the cup cools, perhaps a bit bitter; otherwise this would be a 94-rated coffee.",12 ounces,$13.25,,13.25,12.455
4597,$9.99/12 ounces,"Bright, delicate coffee alive with flowers, lemon, cocoa and a slightly pungent melon-like note. Gentle, brisk acidity; light but silky smooth mouthfeel. Lemon and cocoa in particular carry into the rich, sweet-toned finish. ",12 ounces,$9.99,,9.99,9.3906
4598,$14.90/12 ounces,"Intense, high-toned aroma: rose-like flowers, nut-toned cocoa, orangy citrus. All carry into the cup, where the citrus turns lemony and zesty. Crisp, balanced acidity; silky mouthfeel. A rather juicy version of the citrus dominates in a long, resonant finish.",12 ounces,$14.90,,14.9,14.006
4599,$16.75/12 ounces,"Quiet, deep aroma and flavor with suggestions of nut-toned chocolate, peach and sweet melon. Additional complications of black tea and cedar in the cup. Rich lemony acidity; lightly syrupy mouthfeel. Fruit notes in particular carry into a complex, tartly sweet finish.",12 ounces,$16.75,,16.75,15.745
4600,$14.90/12 ounces,"Dark chocolate dominates aroma and cup, with complications of flowers, apricot-like fruit, walnut, fresh-cut cedar. Gentle, roast-muted acidity; lightly syrupy mouthfeel. Rich, walnutty, rather dry finish.  ",12 ounces,$14.90,,14.9,14.006
4601,$15.93/12 ounces,"Rich, minty dark chocolate, plummy fruit, hints of brandy and cedar in aroma and cup. Round, low-toned acidity; impressively syrupy mouthfeel. Richly flavor-saturated but slightly salty/astringent in the finish.",12 ounces,$15.93,,15.93,14.9742
4602,$12.35/12 ounce,"Very sweet and honeyish. Almondy nut, crisp baker’s chocolate, peach- and apricot-toned fruit in aroma and cup. Roundly gentle acidity; impressively smooth, lightly syrupy mouthfeel. The sweetness carries decisively into the finish, though a slight bitterish astringency shadows the long.",12 ounce,$12.35,,12.35,11.608999999999998
4603,CAD $12.99/400 grams,"Muted hints of sweet fruit and flowers dominate in the aroma. More intensity in the cup: Richly rounded acidity, fullish if lean-textured mouthfeel; flowers, nut, honey, complex chocolate. Continuing hints of flowers and dark chocolate carry into a short but pleasing finish. ",400 grams,CAD $12.99,CAD ,12.99,
4604,$12.85/12 ounces,"Brandy, cherry and cedar with a backgrounded, minty dark chocolate in aroma and cup. Rich, sturdy acidity; syrupy mouthfeel. The finish is sweet and flavor-saturated, but reveals a very slight soapy, composty edge. ",12 ounces,$12.85,,12.85,12.078999999999999
4605,$13.75/12 ounces,"Moist composting leaves (or maybe moist, composting rose petals) layered with a fermenty, brandyish dark chocolate in this richly pleasing but slightly bitterish traditional Sumatra. Gently tart, floral-toned acidity; silky/syrupy mouthfeel.",12 ounces,$13.75,,13.75,12.924999999999999
4606,$12.50/12 ounces,"Remarkably clean-finishing dried-in-the-fruit profile. Opulently sweet but crisp: roses, nut, cocoa, molasses, black tea. Balanced, well-integrated acidity; lightly syrupy mouthfeel. Extraordinarily rich, sweet-toned, densely flavor-saturated finish.",12 ounces,$12.50,,12.5,11.75
4607,$20.00/12 ounces,"Balanced, sweet-toned, pungent. Tart berry – strawberry, cranberry – cedar and multidimensional sweet and tart citrus in both aroma and cup. Smoothly rounded acidity; slightly syrupy, almost creamy mouthfeel. Bittersweet chocolate and citrus zest in the finish.",12 ounces,$20.00,,20.0,18.799999999999997
4608,$10.95/12 ounces,"Suggestions of dark chocolate, smoky cedar, orangy citrus in aroma and cup. Round, gently roast-muted acidity; leanish but smoothly silky mouthfeel. Clean, cocoa-toned finish.",12 ounces,$10.95,,10.95,10.293
4609,$10.95/12 ounces,"Deep, rich aromatics and flavor: smoky cedar, vanilla-toned dark chocolate, prune- and orange-toned fruit. Muted acidity; lightly syrupy mouthfeel. Some dark-chocolate sweetness carries into the long finish.  ",12 ounces,$10.95,,10.95,10.293
4610,THB $200/250 grams,"Evaluated as espresso. Sweet-toned aroma: chocolate, nut, cherry. In the small cup buttery mouthfeel with excellent depth and balance; the chocolate turns caramelly and the fruit toward a zesty orange, both supported by a pungent cedar. In the finish good flavor persistence but slightly bitterish. Maintains flavor with authority in two parts milk: rich, pungent, with hints of continued orange, cedar and chocolate.",250 grams,THB $200,THB ,200.0,
4611,THB $600/250 grams,"Evaluated as espresso. Sweet-toned and deep. Raisin-toned chocolate and a hint of flowers in the aroma. Syrupy mouthfeel in the small cup; the chocolate turns crisp and cedar-toned, and the fruit plumps out to apricot and melon. In two parts milk rich, bittersweet chocolate and continued apricot-like fruit.  ",250 grams,THB $600,THB ,600.0,
4612,$13.95/12 ounces,"Evaluated as espresso. Elegant aroma: milk chocolate, toasted nuts and rose-like flowers. Creamy, rich mouthfeel. Milk chocolate deepens to dark chocolate and the rose-like flowers to lavender in the small cup with complications of cedar and stone fruit. Hints of all carry into to a long, resonant finish. Flavor softens but maintains presence well in two parts milk.",12 ounces,$13.95,,13.95,13.112999999999998
4613,$14.95/12 ounces,"Intense aroma and flavor, with spicy, jasmine-like flowers, zesty lime and a hint of sweet cocoa. Crisply delicate acidity; smooth, silky mouthfeel. Flavor carries deep into a tart, rather bittersweet finish.  ",12 ounces,$14.95,,14.95,14.052999999999999
4614,$12.00/12 ounces,"Deep, sweet-toned aroma: dark chocolate, rich cedar, apricot-like fruit, lily-like flowers. Rich though slightly rough acidity; impressively full, syrupy mouthfeel. The complex aromatics simplify a bit in the cup, but retain depth and resonance. Long though rather dry and piney finish. ",12 ounces,$12.00,,12.0,11.28
4615,$17.00/16 ounces,"A sweet and very complex coffee. A discreetly fermenty, brandy-toned chocolate dominates, rounded and complicated by brighter and crisper notes: strawberry, grapefruit and an almond-like nut note that under the impact of the essential sweetness of the coffee reads as lush marzipan. Remains rich and sweet in the finish, though simplifies a bit.",16 ounces,$17.00,,17.0,15.979999999999999
4616,$15.99/16 ounces,"Complex and distinctive darker-roasted profile. Pungently sweet and deep in aroma and cup: dark chocolate, cedar, grapefruity citrus, fresh-turned earth. The mouthfeel is full and rough, perhaps appropriately so given the earthy, autumnal character of the aromatics. Chocolate, citrus and earth carry into a richly dry finish.",16 ounces,$15.99,,15.99,15.0306
4617,$14.00/12 ounces,"Plum, cedar, almond, a hint of milk chocolate in intense aroma and roundly rich cup. Bright but balanced acidity; lively, lightly syrupy mouthfeel. Sweet but slightly tight finish. ",12 ounces,$14.00,,14.0,13.16
4618,$18.00/12 ounces,"Crisply assertive yet delicate. Nectarine-like stonefruit, tea rose and lime zest carry into the cup, complicated by fresh-cut fir and sweet, plummy fruit notes. Floral-toned acidity; buoyantly silky mouthfeel. More flowers and tart stone fruit in the finish.",12 ounces,$18.00,,18.0,16.919999999999998
4619,$14.00/12 ounces,"High-toned, giddy and bright: lavender, lime zest, baker's chocolate in aroma and cup. Crisply sweet-toned acidity; silky mouthfeel. The lime notes turn ripely sweet in the flavor-saturated finish.",12 ounces,$14.00,,14.0,13.16
4620,$14.00/12 ounces,"Fresh, naturally sweet, dominated by floral and honey notes anchored by a complicating hint of fresh-cut fir. The acidity is giddily and sweetly bright; the mouthfeel lively and somewhere between silky and creamy in texture. Long, resonant finish.  ",12 ounces,$14.00,,14.0,13.16
4621,$14.00/12 ounces,"Richly bright with a deeply expressed acidity: tart berry, black currant, dusk-blooming flowers. Pungently sweet acidity: silky mouthfeel. Very long, deep, resonant finish. ",12 ounces,$14.00,,14.0,13.16
4622,$54.00/1 Kilogram,"Evaluated as espresso. Smoothly round aroma: toasted almond, cocoa-toned caramel and apricot-like stone fruit. Syrupy mouthfeel. Turns crisper in the small cup: the almond turns smoky and walnutty, the caramel deepens toward a cedary dark chocolate. Dominates richly in two parts milk.",1 Kilogram,$54.00,,54.0,50.76
4623,$12.95/12 ounces,"Evaluated as espresso. Sweet-toned, pleasing but simple aromatics: roasted almond, lemon, grape. Buttery mouthfeel. Dry plum, lemon/lime-like citrus and anise carry from the small cup into finish. Continued hints of lemon and anise in a well-balanced, two-part milk drink.",12 ounces,$12.95,,12.95,12.172999999999998
4624,$12.95/12 ounces,"Evaluated as espresso. Subtle, balanced aroma. Dark chocolate, flowers and berry carry into the cup with the addition of peach-like stone fruit and hints of fir. Deeply syrupy mouthfeel. Dark chocolate dominates the sweet, quiet finish. Fades somewhat in two parts milk, though the peach-like stone fruit ripens and chocolate notes sweeten.",12 ounces,$12.95,,12.95,12.172999999999998
4625,$7.99/12 ounces,"Balanced and sweet-toned: roasted almond, hints of flowers and cocoa. Delicate, slightly winey acidity; silky to lightly syrupy mouthfeel. The aromatics remain pleasing but lose intensity and turn slightly woody in the cup. The wood prevails almost entirely in a clean but empty finish.",12 ounces,$7.99,,7.99,7.5106
4626,$7.99/12 ounces,"Impressive aroma: Sweetly pungent and grapefruity with cedar, nut and dark chocolate complications. The aromatics remain pleasing and complex in the cup, though they lose intensity. Lightly syrupy mouthfeel. Aromatics fade further in a sweet-toned but empty finish.",12 ounces,$7.99,,7.99,7.5106
4627,$15.99/8.8 ounces,"Sweet-toned, delicate, though rather simple. Cocoa and nut in aroma and cup, with faint hints of lemon and flowers. Round, muted acidity; smooth but rather lean mouthfeel. Some flavor carries into the short finish but fades toward astringency in the long.",8.8 ounces,$15.99,,15.99,15.0306
4628,$6.49/11 ounces,"Aromatically simple but rich, with a roundly roasty character and suggestions of dark chocolate, nut and cedar. Silky mouthfeel. The finish is sweet-toned, though slightly woody and astringent. The can does not claim 100% Arabica but we found no obvious suggestion of Robusta in the cup.",11 ounces,$6.49,,6.49,6.1006
4629,$7.99/12 ounces,"Impressive aroma: dark chocolate, a hint of pungent, grapefruity citrus. Both fade in the cup and disappear entirely in a heavily astringent, roast-flattened finish. Lean, watery mouthfeel.",12 ounces,$7.99,,7.99,7.5106
4630,$10.99/12 ounces,"Pleasant enough ultra-dark-roast character in the aroma: roundly charred cedar, anise, a hint of citrus. All carry into the cup, though they lose considerable intensity on the way. Lean mouthfeel. The charred cedar turns to charred board in a terminally empty, astringent finish.",12 ounces,$10.99,,10.99,10.3306
4631,$6.29/11 ounces,"Woody nut rounded by a cherryish, rather composty dark-chocolate sweetness. Muted, slightly bitterish acidity; lean but smooth mouthfeel. Some nut and chocolate carry into a heavyish, astringent finish.",11 ounces,$6.29,,6.29,5.912599999999999
4632,$7.19/10.3 ounces,"Disappointing for a 100% Colombian Arabica, even a Colombia presented in a roast-and-ground, canned format. Woody aroma with some pruny sweetness. Flat acidity, leanish mouthfeel. In the cup the wood persists and the fruit turns composty and unpleasantly fermented. Flat, astringent finish.",10.3 ounces,$7.19,,7.19,6.7586
4633,$7.49/11 ounces,"Sweet-toned and pungent in the nose, with composty, prune-like fruit and bitterish wood notes. Retains the fruit and wood hints in the cup, but turns more aggressively bitterish and sour. Thin, leanish mouthfeel. Heavily astringent in the finish. ",11 ounces,$7.49,,7.49,7.0405999999999995
4634,$7.29/10 ounces,"Astoundingly under-roasted and woody. Sweet-toned wood, peanut, perhaps a hint of flowers in the aroma. In the cup nothing but salty, bitterly sour wood and peanut skins (the skins, not the nuts). Somewhere amid all of that a tiny hint of flowers shimmers on. Plumps up just a bit in the finish, though the salty-sour sensations continue to dominate.",10 ounces,$7.29,,7.29,6.8526
4635,$12.95/12 ounces,"Evaluated as espresso. Rich aromatics: ripe red apple, caramel and rose-like flowers carry from the aroma into the short cup where they are deepened and complicated by hints of dark chocolate and fir. Creamy mouthfeel. Flavor mutes but gently persists in two parts milk. ",12 ounces,$12.95,,12.95,12.172999999999998
4636,$13.95/12 ounces,"Evaluated as espresso. Fresh-cut fir, cedar and orange-like citrus in the delicate aroma. Lightly syrupy body. Intense flavor: fresh-cut fir persists, complicated by a caramelly milk chocolate and a brisk walnut. Flavor carries well into a complex, resonant finish. Balanced in two parts milk; the fir sweetens and a suggestion of lemon emerges.",12 ounces,$13.95,,13.95,13.112999999999998
4637,$15.40/12 ounces,"Intense aroma and flavor dominated by deep, jasmine-like flowers and tartly sweet fruit: pomegranate, bergamot, raspberry. Rich, complexly expressed acidity; lightly syrupy mouthfeel. The finish is lemony, sweet, and very long.",12 ounces,$15.40,,15.4,14.475999999999999
